                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.00349,                      1,                      1,                0.90576,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.0035,                      1,                      1,                0.90527,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00387,                      1,                      1,                0.90527,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00396,                      1,                      1,                0.90625,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00096,                      1,                      1,                0.90723,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00217,                      1,                      1,                0.90771,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00217,                      1,                      1,                0.90771,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00135,                      1,                      1,                0.90771,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00319,                      1,                      1,                0.90967,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.0042,                      1,                      1,                0.91064,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 0.0031,                      1,                      1,                0.90576,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00413,                      1,                      1,                0.90576,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00453,                      1,                      1,                0.90625,             1.4209e-05,             1.4209e-05,             1.4209e-05
